"","care_group","CH","ADC","ECH","MHH","ownership"
"32","Abbey Total Care Group Ltd","   10   ","       ","       ","       ","P"
"33","Abbeycare","   3    ","       ","       ","       ","V"
"34","Abbeyfield Bedford Society","       ","       ","   2    ","       ","V"
"35","Abbeyfield Braintree   Bocking Society","       ","       ","   2    ","       ","V"
"36","Abbeyfield Hoylake   West Kirby Society Ltd","   1    ","       ","   1    ","       ","V"
"37","Abbeyfield Kent Society Ltd","   5    ","       ","       ","       ","V"
"38","Abbeyfield Society","   63   ","       ","   9    ","       ","V"
"39","Abbeyfield The Dales Ltd","   1    ","   1    ","   3    ","       ","V"
"40","Abbeygate Rest Homes Ltd","   2    ","       ","       ","       ","P"
"41","Abbeyside Nursing Homes Ltd","   4    ","       ","       ","       ","P"
"42","Abbotsford Care  Glenrothes  Ltd","   7    ","       ","       ","       ","P"
"43","Abbotsound Ltd","   1    ","       ","   1    ","       ","P"
"44","Abercorn Care Ltd","   3    ","       ","       ","       ","P"
"45","Aberdeen City Council","   3    ","       ","   2    ","       ","L"
"46","Aberdeen Cyrenians Ltd","   2    ","       ","       ","       ","V"
"47","Aberdeenshire Council","   11   ","   28   ","   2    ","       ","L"
"48","Abilities Development Ltd","   2    ","   1    ","       ","       ","P"
"49","Ability Associates Ltd","   2    ","       ","       ","       ","V"
"50","AbleCare Partnership","   4    ","       ","       ","       ","P"
"51","AbleCare Homes Ltd","   6    ","       ","       ","       ","P"
"52","Ablegrange Group","   4    ","       ","       ","       ","P"
"53","Dr E Abu Moustafa","   2    ","       ","       ","       ","P"
"54","Accent Foundation Ltd","       ","       ","   3    ","       ","P"
"55","Accommodating Care  Southport  Ltd","   2    ","       ","       ","       ","P"
"56","Accord Housing Association Ltd","   15   ","       ","   8    ","       ","V"
"57","Acorn Lodge  Bournemouth  Ltd","   2    ","       ","       ","       ","P"
"58","Acorn Recovery Projects","   2    ","       ","       ","       ","P"
"59","Acorn Villages Ltd","   2    ","       ","       ","       ","V"
"60","Action for Care Ltd","   4    ","       ","       ","       ","P"
"61","Action On Addiction","   2    ","       ","       ","       ","V"
"62","Action on Hearing Loss","   23   ","       ","       ","       ","V"
"63","Active Care Homes Ltd","   4    ","       ","       ","       ","P"
"64","Active Pathways Ltd","   1    ","       ","       ","   1    ","P"
"65","Adactus Housing Group","       ","       ","   4    ","       ","P"
"66","L Adams and J Adams","   1    ","       ","   1    ","       ","P"
"67","Adara Healthcare","   2    ","       ","       ","       ","P"
"68","Addiction Dependency Solutions","   1    ","       ","   1    ","       ","V"
"69","Adelaide Care Ltd","   3    ","       ","       ","       ","P"
"70","Adelaide Lodge Care Home LL Partnership","   4    ","       ","       ","       ","P"
"71","Adelphi Care Services","   4    ","       ","       ","       ","P"
"72","Adept Care Homes Ltd","   8    ","       ","       ","       ","P"
"73","Mrs E Adey Jones","   2    ","       ","       ","       ","P"
"74","Admiral Health Care Ltd","   2    ","       ","       ","       ","P"
"75","Adonai Holdings Ltd","   5    ","       ","       ","       ","P"
"76","Advance","   9    ","       ","   1    ","       ","V"
"77","Advent Estates Ltd","   2    ","       ","       ","       ","P"
"78","Advinia Healthcare Ltd","   16   ","       ","       ","       ","P"
"79","Affinity Trust","   7    ","       ","   4    ","       ","V"
"80","Affinty Sutton","       ","       ","   6    ","       ","P"
"81","Age Concern Birmingham","       ","   5    ","       ","       ","V"
"82","Age NI","   1    ","   8    ","       ","       ","V"
"83","Age UK Oxfordshire","       ","   8    ","       ","       ","V"
"84","Age UK West Sussex","       ","   5    ","       ","       ","V"
"85","Age UK Camden","       ","   2    ","       ","       ","V"
"86","Age UK Doncaster","       ","   10   ","       ","       ","V"
"87","Age UK Horsham District","       ","   2    ","       ","       ","V"
"88","Age UK Lancashire","       ","   5    ","       ","       ","V"
"89","Age UK Norfolk","   1    ","   2    ","   1    ","       ","V"
"90","Age UK North Tyneside","       ","   2    ","       ","       ","V"
"91","Age UK Plymouth","   1    ","   4    ","       ","       ","V"
"92","Age UK Sevenoaks   Tonbridge","       ","   2    ","       ","       ","V"
"93","Agincare Homes Holdings Ltd","   14   ","       ","       ","       ","P"
"94","Agudas Israel Housing Association Ltd","   2    ","       ","   1    ","       ","V"
"95","Dr Siraj Ahmed","   4    ","       ","       ","       ","P"
"96","Aims Care Partnership","   2    ","       ","   1    ","       ","P"
"97","Akari Care Ltd","   36   ","       ","       ","       ","P"
"98","Alan Atchison Residential Services","   2    ","       ","       ","       ","P"
"99","Albany Care Homes Ltd","   3    ","       ","       ","       ","P"
"100","Albemarle Rest Home Ltd","   2    ","       ","       ","       ","P"
"101","Aldanat Care Ltd","   3    ","       ","       ","       ","P"
"102","Alderwood LLA Ltd","   7    ","       ","       ","       ","P"
"103","Aldwyck Housing Group Ltd","   1    ","       ","   2    ","       ","V"
"104","Mr   Mrs L Alexander","   2    ","       ","   1    ","       ","P"
"105","Alexandra Homes  Bristol  Ltd","   2    ","       ","       ","       ","P"
"106","All About Care Ltd","   2    ","       ","       ","       ","P"
"107","All Hallows Healthcare Trust Ltd","   1    ","   2    ","       ","       ","V"
"108","All In One Care Group","   2    ","       ","       ","       ","P"
"109","Allag Care Ltd","   2    ","       ","       ","       ","P"
"110","Allandale Care Group Ltd","   3    ","       ","       ","       ","P"
"111","Allen   Whitworth Homes","   2    ","       ","       ","       ","P"
"112","Alliance Care and Support Ltd","   5    ","       ","       ","       ","P"
"113","Allied Care Ltd","   39   ","       ","   4    ","       ","P"
"114","Almond Villas Ltd","   3    ","       ","       ","       ","P"
"115","Almondsbury Care Ltd","   5    ","       ","       ","       ","P"
"116","Alo Care Ltd","   2    ","       ","       ","       ","P"
"117","Alpha Care Healthcare Group","   2    ","       ","       ","       ","P"
"118","Alpha Care Homes Ltd","   2    ","   1    ","       ","       ","P"
"119","Alpha Care Management Services Ltd","   3    ","       ","       ","       ","P"
"120","Alphonsus Services Ltd","   11   ","       ","       ","       ","P"
"121","Altham Care Ltd","   2    ","       ","       ","       ","P"
"122","Altogether Care LLP","   3    ","       ","       ","       ","P"
"123","Alton Care Group","   2    ","       ","       ","       ","P"
"124","Alzheimer s Society","       ","   4    ","       ","       ","V"
"125","Amba Care Homes Group","   4    ","       ","       ","       ","P"
"126","Amber Care  East Anglia  Ltd","   6    ","       ","       ","       ","P"
"127","Amber Care Ltd","   2    ","       ","       ","       ","P"
"128","Amberley Healthcare Ltd","   2    ","       ","       ","       ","P"
"129","Amesbury Abbey Group","   3    ","       ","   2    ","       ","P"
"130","Amicus Horizon Ltd","       ","       ","   2    ","       ","P"
"131","Amocura Ltd","   3    ","       ","       ","       ","P"
"132","Amore Care","   41   ","       ","   1    ","       ","P"
"133","Ampersand Care Ltd","   4    ","       ","       ","       ","P"
"134","Amstecos Ltd","   3    ","       ","       ","       ","P"
"135","Anchor","   121   ","       ","   48   ","       ","V"
"136","Mr   Mrs A Andrew","   2    ","       ","       ","       ","P"
"137","Andrew Frederick Adult Support","       ","   2    ","       ","       ","P"
"138","Angel Care Homes Ltd","   2    ","       ","       ","       ","P"
"139","Angel Care plc","   3    ","       ","       ","       ","V"
"140","Angel Healthcare Ltd","   3    ","       ","       ","       ","P"
"141","Angel Home Ltd","   2    ","       ","       ","       ","P"
"142","Angus Council","   4    ","   3    ","   1    ","       ","L"
"143","Agatha Annin Adjei","   2    ","       ","       ","       ","P"
"144","Ansa Care Concept Ltd","   2    ","       ","       ","       ","P"
"145","Ansar Projects Ltd","   5    ","       ","       ","       ","P"
"146","Mr   Mrs J R Anson","   4    ","       ","       ","       ","P"
"147","Anthony Toby Homes Trust","   2    ","       ","       ","       ","V"
"148","Apex Care Homes Ltd","   4    ","       ","       ","       ","P"
"149","Apex Healthcare","   4    ","       ","       ","       ","P"
"150","Apex Housing Association","   9    ","       ","   5    ","       ","V"
"151","Apple House Ltd","   3    ","       ","       ","       ","P"
"152","Approach Community Homes Ltd","   3    ","       ","       ","       ","P"
"153","Arcare  West Midlands  Ltd","   7    ","       ","       ","       ","P"
"154","Archmore Care Services","   2    ","       ","       ","       ","P"
"155","Archway Respite Care","   4    ","       ","       ","       ","P"
"156","Argyle Care Group Ltd","   3    ","       ","       ","       ","P"
"157","Argyll   Bute Council","   6    ","       ","       ","       ","L"
"158","Ark Care Homes Ltd","   5    ","       ","       ","       ","P"
"159","Ark Care Services Ltd","   2    ","       ","       ","       ","P"
"160","ARK Housing Association Ltd","   4    ","       ","   1    ","       ","V"
"161","Arkley Care Ltd","   2    ","       ","       ","       ","P"
"162","Armagh Care Services","   2    ","       ","       ","       ","P"
"163","Armscare Ltd","   5    ","       ","       ","       ","P"
"164","Kate Armstrong Shone","   2    ","       ","       ","       ","P"
"165","Arrowsmith Lodge Rest Home Ltd","   2    ","       ","       ","       ","P"
"166","Arundel Care Service Ltd","   4    ","       ","       ","       ","P"
"167","As U Care Ltd","   2    ","       ","       ","       ","P"
"168","Ascot Care","   6    ","       ","       ","       ","P"
"169","Ascot Residential Homes Ltd","   2    ","       ","       ","       ","P"
"170","Ashberry Healthcare Ltd","   8    ","       ","       ","       ","P"
"171","Ashcroft Care Service Ltd","   12   ","       ","       ","       ","P"
"172","Ashdon Care Ltd","   2    ","       ","       ","       ","P"
"173","Ashdown Care Homes Ltd","   5    ","       ","       ","       ","P"
"174","Ashlake Lodge Ltd","   2    ","       ","       ","       ","P"
"175","Ashley Care Group","   3    ","       ","       ","       ","P"
"176","Ashley House Care Homes Ltd","   3    ","       ","       ","       ","P"
"177","Ashmere Care Group","   10   ","       ","       ","       ","P"
"178","Ashmoor Health Care Ltd","   2    ","       ","       ","       ","P"
"179","Ashness Care Ltd","   2    ","       ","       ","       ","P"
"180","Ashram Housing Association","       ","       ","   3    ","       ","P"
"181","Ashwood Healthcare Ltd","   2    ","       ","       ","       ","P"
"182","Ashwood House Ltd","   2    ","       ","   1    ","       ","P"
"183","Askham Village Community Ltd","   4    ","       ","       ","       ","P"
"184","Aspects","   3    ","       ","       ","       ","P"
"185","Aspire  for Intelligent Care   Support CIC","   2    ","   2    ","       ","       ","P"
"186","Aspire Healthcare Ltd","   14   ","       ","   1    ","       ","P"
"187","Aspire in the Community","   4    ","       ","       ","       ","P"
"188","Aspire Living","   2    ","       ","       ","       ","V"
"189","Asra Housing Group","       ","       ","   6    ","       ","P"
"190","Assisted Living South West","   6    ","       ","   3    ","       ","P"
"191","Mr   Mrs M Assrafally","   2    ","       ","       ","       ","P"
"192","Assured Care Services Ltd","   2    ","       ","       ","       ","P"
"193","Aster Communities","       ","       ","   6    ","       ","P"
"194","Aster Healthcare","   6    ","       ","       ","       ","P"
"195","Astley Care Homes Ltd","   6    ","       ","       ","       ","P"
"196","Aston Care Ltd","   6    ","       ","       ","       ","P"
"197","Aston Transitional Care Ltd","   3    ","       ","       ","       ","P"
"198","AstonBrook Care Homes","   21   ","       ","       ","       ","P"
"199","Astra Care  UK  Ltd","   1    ","       ","       ","   1    ","P"
"200","At Home in the Community Ltd","   3    ","       ","       ","       ","V"
"201","Athena Care Homes  UK  Ltd","   3    ","       ","       ","       ","P"
"202","Athena Health Care Group","   2    ","       ","       ","       ","P"
"203","Atkinsons Nursing Homes","   3    ","       ","       ","       ","P"
"204","Atlas Care Homes Ltd","   2    ","       ","       ","       ","P"
"205","Auckland Care Ltd","   4    ","       ","       ","       ","P"
"206","Audit Care Elderly Residential Care   Services","   2    ","       ","       ","       ","P"
"207","Audley Retirement Villages","       ","       ","   9    ","       ","P"
"208","Aurora Care and Education Opco Ltd","   2    ","       ","       ","       ","P"
"209","Autism and Aspergers Care Services","   3    ","       ","       ","       ","P"
"210","Autism Anglia","   6    ","       ","       ","       ","V"
"211","Autism Care  UK  Ltd","   13   ","       ","       ","       ","P"
"212","Autism Care Wiltshire Ltd","   2    ","       ","       ","       ","P"
"213","Autism Consultants Ltd","   3    ","       ","       ","       ","P"
"214","Autism Hampshire","   7    ","       ","       ","       ","V"
"215","Autism Initiatives  UK","   22   ","       ","       ","       ","V"
"216","Autism Plus Ltd","   11   ","       ","       ","       ","V"
"217","Autism Sussex Ltd","   5    ","       ","       ","       ","V"
"218","Autism Wessex","   8    ","       ","       ","       ","V"
"219","Autism West Midlands","   6    ","       ","       ","       ","V"
"220","Avantage","       ","       ","   5    ","       ","P"
"221","Avante Care   Support","   9    ","       ","       ","       ","V"
"222","Avens Care Homes Ltd","   2    ","       ","       ","       ","P"
"223","Avens Ltd","   3    ","       ","       ","       ","P"
"224","The Avenues Trust Support Services","   34   ","       ","   2    ","       ","V"
"225","Avery Healthcare Group","   42   ","       ","       ","       ","P"
"226","Avocet Trust","   13   ","       ","       ","       ","V"
"227","Avon Autistic Foundation","   2    ","       ","       ","       ","V"
"228","Avon Care Homes Ltd","   5    ","       ","       ","       ","P"
"229","Avon Lodge UK Ltd","   2    ","       ","       ","       ","P"
"230","Avondale Care  Scotland  Ltd","   3    ","       ","       ","       ","P"
"231","Awelon Healthcare","   2    ","   1    ","       ","       ","P"
"232","Axelbond Ltd","   2    ","       ","       ","       ","P"
"233","Axiom Housing Association Ltd","       ","       ","   2    ","       ","P"
"234","Ayush Care Ltd","   1    ","   1    ","       ","       ","P"
"235","B C   G Care Homes Ltd","   3    ","       ","       ","       ","P"
"236","B C O P","   4    ","       ","   1    ","       ","V"
"237","BCVS Homes","   2    ","       ","       ","       ","V"
"238","BEN   Motor   Allied Trades Benevolent Fund","   3    ","   1    ","   3    ","       ","V"
"239","B M Care Ltd","   2    ","       ","       ","       ","P"
"240","BPS Care Homes Ltd","   2    ","       ","       ","       ","P"
"241","B M Care Ltd","   23   ","       ","       ","       ","P"
"242","B3 Living","       ","       ","   2    ","       ","V"
"243","Romi Bagga and Amrik Bagga","   2    ","       ","       ","       ","P"
"244","Jacqueline Bailey","   2    ","       ","       ","       ","P"
"245","Mrs Janet Bailey","   2    ","       ","       ","       ","P"
"246","Mr   Mrs D M Baker and Mr   Mrs H N Dennis","   3    ","       ","       ","       ","P"
"247","Bakewell Cottage Care Home Ltd","   3    ","       ","       ","       ","P"
"248","Balance  Support  CIC","   2    ","       ","       ","       ","V"
"249","Balcombe Care Homes Ltd","   4    ","       ","       ","       ","P"
"250","Michael R Baldry","   2    ","       ","       ","       ","P"
"251","Balhousie Care Group","   23   ","       ","       ","       ","P"
"252","Balkerne Gardens Trust Ltd","   2    ","       ","   3    ","       ","V"
"253","Balmer Care Homes Ltd","   3    ","       ","       ","       ","P"
"254","Bank House Care Homes Ltd","   4    ","       ","       ","       ","P"
"255","Banstead Carshalton   District Housing Society Ltd","   2    ","       ","       ","       ","V"
"256","Barchester Healthcare Ltd","   200   ","   2    ","   14   ","   6    ","P"
"257","London Borough of Barking   Dagenham","   2    ","   2    ","   5    ","       ","L"
"258","Barleybind Ltd","   2    ","       ","       ","       ","P"
"259","Janet Barlow","   3    ","       ","       ","       ","P"
"260","Baronsmede Support Services Ltd","   2    ","       ","       ","       ","P"
"261","Barrow and Districts Society for the Blind Ltd","   1    ","       ","   1    ","       ","V"
"262","Bath   North East Somerset Council","   1    ","       ","   1    ","       ","L"
"263","Itrat Batool","   2    ","       ","       ","       ","P"
"264","Mr   Mrs Tony B Batt","   2    ","       ","       ","       ","P"
"265","Deborah Bayliss","   2    ","       ","       ","       ","P"
"266","Baytree Community Care  London  Ltd","   2    ","       ","       ","       ","P"
"267","Beaconsfield Care Ltd","   2    ","       ","       ","       ","P"
"268","Beaumont Lodge Ltd","   3    ","       ","       ","       ","P"
"269","Kemi A Beckley and John Femi Beckley","   2    ","       ","       ","       ","P"
"270","Bedford Borough Council","   6    ","   2    ","       ","       ","L"
"271","Bedfordshire Pilgrims Housing Association","       ","       ","   5    ","       ","P"
"272","Bedfordshire Supported Housing Ltd","   2    ","       ","       ","       ","P"
"273","Beechcroft Care Homes Ltd","   4    ","       ","       ","       ","P"
"274","Beeshaw Care Ltd","   3    ","       ","       ","       ","P"
"275","Belfast Health and Social Care Trust","   14   ","   10   ","       ","       ","N"
"276","Bellview Ltd","   2    ","       ","       ","       ","P"
"277","Belmont Sandbanks Care Ltd","   3    ","   1    ","       ","       ","P"
"278","Belong","   5    ","       ","   5    ","       ","V"
"279","Belsfield Care","   5    ","       ","       ","       ","P"
"280","Benell Care Services Ltd","   2    ","       ","       ","       ","P"
"281","Benslow Management Company Ltd","   4    ","       ","       ","       ","P"
"282","Beritaz Care","   6    ","       ","       ","       ","P"
"283","Berkley Care Group","   5    ","   1    ","       ","       ","P"
"284","Bernhard Baron Cottage Homes","   1    ","       ","   1    ","       ","V"
"285","Berrycroft Care","   3    ","       ","       ","       ","P"
"286","Bertinaley Care Ltd","   4    ","       ","       ","       ","P"
"287","Berwick Care Homes Ltd","   2    ","       ","       ","       ","P"
"288","BestCare Ltd","   3    ","       ","       ","       ","P"
"289","Bethesda Healthcare Ltd","   2    ","       ","       ","       ","P"
"290","Bethphage","   5    ","       ","       ","       ","V"
"291","Bevan and Clarke LLP","   2    ","       ","       ","       ","P"
"292","Beverley Holmes Patten","   2    ","       ","       ","       ","P"
"293","Mr   Mrs K Bhanji","   3    ","       ","       ","       ","P"
"294","Mr   Mrs M Bheecarry","   2    ","       ","       ","       ","P"
"295","Bield Housing   Care","   15   ","       ","   42   ","       ","V"
"296","Bindon Care","   3    ","       ","       ","       ","P"
"297","Bira Care Homes Ltd","   2    ","       ","       ","       ","P"
"298","Birchester Medicare Ltd","   2    ","       ","       ","       ","P"
"299","Mrs Ann Birmingham","   2    ","       ","       ","       ","P"
"300","Birmingham City Council","   6    ","   7    ","   4    ","       ","L"
"301","Birmingham Community Healthcare NHS Foundation Trust","   3    ","       ","       ","       ","N"
"302","Birmingham Jewish Community Care","   1    ","   1    ","       ","       ","V"
"303","Birmingham Mind","   4    ","       ","       ","       ","V"
"304","Birmingham Multi Care Support Services Ltd","   2    ","       ","       ","       ","V"
"305","Birtley House Group","       ","       ","   2    ","       ","P"
"306","Black Country Housing Group Ltd","   2    ","       ","   4    ","       ","P"
"307","Black Swan International Ltd","   13   ","       ","       ","       ","P"
"308","Blackadder Corporation Ltd","   3    ","       ","       ","       ","P"
"309","Blackburn with Darwen Borough Council","   1    ","   3    ","       ","       ","L"
"310","Blackpool Borough Council","   3    ","   2    ","   1    ","       ","L"
"311","Blackwood Care","   4    ","       ","       ","       ","V"
"312","Blaenau Gwent County Borough Council","   2    ","       ","       ","       ","L"
"313","Blaenmarlais Care Ltd","   2    ","       ","       ","       ","P"
"314","Blakeshields Ltd","   2    ","       ","       ","       ","P"
"315","Blanchworth Care","   9    ","       ","   2    ","       ","P"
"316","Bleak House Ltd","   2    ","       ","       ","       ","P"
"317","Blind Veterans UK","   2    ","       ","       ","       ","V"
"318","Bliss Residential Care Ltd","   3    ","       ","       ","       ","P"
"319","Blue Mar Ltd","   2    ","       ","       ","       ","P"
"320","Blue Sky Care Ltd","   4    ","       ","       ","       ","P"
"321","Bluecroft Estates Ltd","   3    ","       ","       ","       ","P"
"322","Blythson Ltd","   4    ","       ","       ","       ","P"
"323","S Bogun","   2    ","       ","       ","       ","P"
"324","Bolton Metropolitan Borough Council","   6    ","   3    ","   2    ","       ","L"
"325","The Bondcare Group","   30   ","   1    ","   1    ","       ","P"
"326","Borough Care Ltd","   11   ","       ","       ","       ","V"
"327","Borough of Poole Council","       ","   3    ","       ","       ","L"
"328","Botany House Ltd","   2    ","       ","       ","       ","P"
"329","Boulevard Care Ltd","   7    ","       ","       ","       ","P"
"330","Bournemouth Borough Council","       ","   4    ","   1    ","       ","L"
"331","Bournville Village Trust","   3    ","       ","       ","       ","V"
"332","Bowden Derra Park Ltd","   4    ","       ","       ","       ","P"
"333","Bracknell Forest Borough Council","   2    ","   1    ","       ","       ","L"
"334","Bradbury House Ltd","   7    ","       ","       ","       ","P"
"335","Bradley Rawlinson and Meredith Knight","   2    ","       ","       ","       ","P"
"336","Mr   Mrs A J Bradshaw","   2    ","       ","       ","       ","P"
"337","Braemar RCH Care Home Ltd","   2    ","       ","       ","       ","P"
"338","The Brain Injury Rehabilitation Trust","   7    ","       ","       ","       ","V"
"339","Bramble Bay Ltd","   2    ","       ","       ","       ","P"
"340","Brambles Care Home Ltd","   2    ","       ","       ","       ","P"
"341","Bramley Health","   4    ","       ","       ","   3    ","P"
"342","Brampton Meadow Ltd","   2    ","       ","       ","       ","P"
"343","Brancaster Care Homes Ltd","   5    ","       ","       ","       ","P"
"344","Brand Homes Ltd","   2    ","       ","       ","       ","P"
"345","Brandon Care Ltd","   2    ","       ","       ","       ","P"
"346","Brandon Trust","   22   ","       ","   9    ","       ","V"
"347","Breaksea Residential Ltd","   2    ","       ","       ","       ","P"
"348","Bree Associates Ltd","   2    ","       ","       ","       ","P"
"349","Mr   Mrs S M Brelsford","   3    ","       ","       ","       ","P"
"350","Brendoncare Foundation","   10   ","       ","   4    ","       ","V"
"351","Bridgend County Borough Council","   7    ","       ","       ","       ","L"
"352","Bridgewood Trust Ltd","   11   ","       ","       ","       ","V"
"353","The Bridgings Ltd","   3    ","       ","       ","       ","P"
"354","Bright Futures Care Ltd","   3    ","       ","       ","       ","P"
"355","brighterkind","   72   ","       ","   2    ","       ","P"
"356","Brighton and Hove Council","   8    ","       ","       ","       ","L"
"357","Brighton Housing Trust","   3    ","       ","       ","       ","V"
"358","Bristol Care Homes","   4    ","       ","       ","       ","P"
"359","Bristol City Council","   3    ","       ","       ","       ","L"
"360","Bro Myrddin Housing Association Ltd","   2    ","       ","       ","       ","V"
"361","Broad Horizons Ltd","   2    ","       ","       ","       ","P"
"362","Broadacres Housing Association Ltd","       ","       ","   3    ","       ","P"
"363","Broadham Care Ltd","   8    ","       ","       ","       ","P"
"364","Broadoak Group of Care Homes","   12   ","       ","       ","       ","P"
"365","Broadreach House","   3    ","       ","       ","       ","V"
"366","Broadstreet House Ltd","   4    ","       ","       ","       ","P"
"367","Broadway Care Centres Ltd","   2    ","       ","       ","       ","P"
"368","Broadway Lodge Ltd","   2    ","       ","       ","       ","V"
"369","Catherine Brockie","   2    ","       ","       ","       ","P"
"370","Brooklands Nursing Homes","   2    ","       ","       ","       ","P"
"371","Mrs B Brooks","   2    ","       ","       ","       ","P"
"372","Brookvale Healthcare","   11   ","       ","       ","       ","P"
"373","The Brothers of Charity Services Lancashire","   2    ","       ","       ","       ","V"
"374","Brunelcare","   4    ","       ","   4    ","       ","V"
"375","Buckinghamshire County Council","   1    ","   12   ","       ","       ","L"
"376","Buckland Care Ltd","   6    ","       ","       ","       ","P"
"377","Bupa Care Homes","   279   ","       ","       ","       ","P"
"378","Mr   Mrs T Burgess","   2    ","       ","       ","       ","P"
"379","Gillian Burgwin","   2    ","       ","       ","       ","P"
"380","Burlington Care","   13   ","       ","       ","       ","P"
"381","Ms Kate Burns","   2    ","       ","       ","       ","P"
"382","Burnside Care Ltd","   1    ","       ","       ","   1    ","P"
"383","Burnview Group","   4    ","       ","       ","       ","P"
"384","Bury Metropolitan Borough Council","   3    ","   2    ","       ","       ","L"
"385","Sharyn Deidre Buss","   2    ","       ","       ","       ","P"
"386","Butterflys Group","   4    ","       ","       ","       ","P"
"387","C C","   8    ","   1    ","       ","       ","V"
"388","CHD Living Ltd","   10   ","       ","       ","       ","P"
"389","C H P   Cottey House Sheltered Housing","       ","       ","   2    ","       ","P"
"390","CHS Group  CHS","   3    ","       ","   3    ","       ","V"
"391","C I Healthcare Ltd","   3    ","       ","       ","       ","P"
"392","CLBD Ltd","   2    ","       ","       ","       ","P"
"393","C L S Care Services Group","   18   ","       ","       ","       ","V"
"394","C N V Ltd","   3    ","       ","       ","       ","P"
"395","C T C H Ltd  Cedar Trust Care Homes","   5    ","       ","       ","       ","P"
"396","R Cadman","   3    ","       ","       ","       ","P"
"397","Cadogan Care Ltd","   2    ","       ","       ","       ","P"
"398","Caerphilly County Borough Council","   9    ","       ","   1    ","       ","L"
"399","Caireach Ltd","   3    ","       ","       ","       ","P"
"400","Cairnhill Home A Ltd","   2    ","       ","       ","       ","P"
"401","Cais Ltd","   1    ","       ","       ","   1    ","V"
"402","Calderdale Metropolitan Borough Council","   2    ","   3    ","       ","       ","L"
"403","Caldwell Group Ltd","   2    ","       ","       ","       ","P"
"404","Caliburn Care Home Ltd","   2    ","       ","       ","       ","P"
"405","Calsan Ltd","   2    ","       ","       ","       ","P"
"406","David Calwell","   2    ","       ","       ","       ","P"
"407","Cambian Education Services Ltd","   7    ","       ","       ","       ","P"
"408","Cambian Group","   22   ","   2    ","       ","   14   ","P"
"409","Cambian Signpost Ltd","   4    ","       ","       ","       ","P"
"410","Cambian Whinfell School Ltd","   3    ","       ","       ","       ","P"
"411","Cambridgeshire County Council","   3    ","       ","       ","       ","L"
"412","London Borough of Camden","   1    ","   2    ","       ","       ","L"
"413","Camden   Islington NHS Foundation Trust","   1    ","   2    ","       ","       ","N"
"414","The Camden Society","   6    ","       ","       ","       ","V"
"415","Camelot Care Group","   3    ","       ","       ","       ","P"
"416","Camino Healthcare Ltd","   2    ","       ","       ","       ","P"
"417","Mr   Mrs M Cammack","   2    ","       ","       ","       ","P"
"418","Candour Care Services","   3    ","       ","       ","       ","P"
"419","Canford Healthcare","   10   ","       ","       ","       ","P"
"420","Cannon Care Homes Ltd","   3    ","       ","       ","       ","P"
"421","Canterbury Care","   9    ","       ","       ","       ","P"
"422","Canterbury Oast Trust Ltd","   10   ","       ","       ","       ","V"
"423","Capability Scotland","   4    ","       ","       ","       ","V"
"424","Capstone Care Ltd","   2    ","       ","       ","       ","P"
"425","Cardell Care Ltd","   5    ","       ","       ","       ","P"
"426","Cardinal Healthcare","   2    ","       ","       ","       ","P"
"427","Care 24 7 Leicester Ltd","   2    ","       ","       ","       ","P"
"428","Care Assist Ltd","   3    ","       ","       ","       ","P"
"429","Care Circle Group","   5    ","       ","       ","       ","P"
